Índice / Nombre	Comunidad / Ubicación	Latitud (N)	Longitud (W)	Altitud	Orientación (Rumbo)	Fecha y Hora	Velocidad
REGISTRO CHACHAJO 1 (20).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'31.34572"""	"77°16'58.95985"""	13.0 m	213° SW	13 nov 2024 4:13:12 p. m.	1.6 km/h
REGISTRO CHACHAJO 1 (29).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'26.02409"""	"77°17'0.12399"""	16.0 m	167° S	13 nov 2024 5:15:52 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (30).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'26.03148"""	"77°17'0.11071"""	16.0 m	183° S	13 nov 2024 5:15:59 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (31).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'26.14147"""	"77°17'0.13636"""	20.0 m	15° N	13 nov 2024 5:16:41 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (33).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'27.53042"""	"77°17'0.27426"""	16.0 m	11° N	13 nov 2024 5:17:45 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (34).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'27.62728"""	"77°17'0.2972"""	16.0 m	339° N	13 nov 2024 5:17:58 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (35).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'27.62728"""	"77°17'0.2972"""	16.0 m	2° N	13 nov 2024 5:18:03 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (2).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'31.17599"""	"77°17'0.48941"""	18.0 m	65° NE	13 nov 2024 5:20:38 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (3).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'31.17599"""	"77°17'0.48941"""	18.0 m	63° NE	13 nov 2024 5:20:40 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (4).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'32.04533"""	"77°16'56.93602"""	12.0 m	112° E	13 nov 2024 5:43:40 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (5).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'32.05257"""	"77°16'57.03318"""	17.0 m	53° NE	13 nov 2024 5:43:47 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (6).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'32.01968"""	"77°16'57.06999"""	16.0 m	19° N	13 nov 2024 5:43:50 p. m.	1.0 km/h
REGISTRO CHACHAJO 1 (7).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'34.34118"""	"77°16'58.52623"""	14.0 m	93° E	13 nov 2024 5:48:48 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (8).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'34.34118"""	"77°16'58.52623"""	14.0 m	90° E	13 nov 2024 5:48:52 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (9).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'34.34118"""	"77°16'58.52623"""	14.0 m	88° E	13 nov 2024 5:48:54 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (11).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'36.63372"""	"77°17'1.41095"""	14.0 m	160° S	13 nov 2024 5:51:53 p. m.	0.2 km/h
REGISTRO CHACHAJO 1 (12).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'36.72484"""	"77°17'1.47854"""	9.0 m	155° SE	13 nov 2024 5:51:56 p. m.	0.2 km/h
REGISTRO CHACHAJO 1 (13).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'36.84947"""	"77°17'1.42875"""	11.0 m	353° N	13 nov 2024 5:52:05 p. m.	0.0 km/h
REGISTRO CHACHAJO 1 (16).jpeg	Buenaventura, Valle del Cauca (#Chachajo)	"4°11'41.06836"""	"77°17'2.19881"""	5.0 m	349° N	13 nov 2024 5:54:41 p. m.	2.4 km/h
